Movie,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate Followers
13 Sins,-0.6458931135339586,6.3,0.638984865411418,-0.8248011732954281,-0.8234343341535285,-1.5272740970453165,-0.37228341117599173,-0.402417499653706,-0.07906228775587283,-0.4990555858672827,-0.20467690473215336,-0.4295535265235243,-0.3662041508112596
22 Jump Street,-0.6458931135339586,7.1,-1.0548487860152425,1.562893461460442,0.04830343520516882,0.7481232025709222,0.66383066089213,-0.11595080498496611,-0.7794886917563013,-0.593789721966661,-0.4979334370822604,-0.6158898463097646,2.2617942773744515
3 Days to Kill,-0.6458931135339586,6.2,-1.0548487860152425,-0.4431141397662301,-0.3686146284011647,0.44529510443125725,-0.37228341117599173,-0.402417499653706,-0.8517912345694851,-0.8484435222612198,-0.5196859820642739,-0.6734470650881811,-0.5152722718045185
300: Rise of an Empire,-0.6458931135339586,6.3,-1.0548487860152425,0.49335438083121813,1.1853526995860784,0.8625559401167865,0.66383066089213,-0.402417499653706,-0.8133438611776254,-0.6778896062845325,-0.44073230027770655,-0.4486012392127844,-0.4953809212795154
A Haunted House 2,-0.6458931135339586,4.7,0.638984865411418,-0.6097632523293882,-0.8329097446900361,0.053153650158234776,0.66383066089213,-0.402417499653706,-0.11411147175854289,0.1122921253275919,-0.05563168911465392,-0.24487352957982833,-0.1781021796112886
A Long Way Off,-0.6458931135339586,4.6,-0.5708963141790537,-0.824554060021799,-0.8897622079090816,0.37900784792603104,-0.37228341117599173,-0.402417499653706,-0.9072913590548275,-0.8659778610765289,-0.5414385270462873,-0.6924947777774412,-0.5557570205201132
A Million Ways to Die in the West,-0.6458931135339586,6.1,0.638984865411418,-0.29511977860939564,-0.14120477552498278,0.6448546345417278,-0.37228341117599173,-0.402417499653706,-0.1485353432096946,-0.09617168058774975,-0.20951080361704524,-0.2705465336392659,1.2796295932163542
A Most Violent Year,-0.6458931135339586,7.1,-1.0548487860152425,-0.7534048381580805,-0.520221196985286,-0.9879051572712128,-0.37228341117599173,-0.11595080498496611,-0.4494820701428379,-0.6959110100669336,-0.3883650623580446,-0.4473589970808761,-0.5977266000484271
A Walk Among the Tombstones,-0.6458931135339586,6.5,1.1229373372476068,-0.5015656941727109,-0.3686146284011647,0.33504893045414413,-0.37228341117599173,0.02728254234940383,-0.3561121034593969,-0.6956674775833877,-0.20951080361704524,-0.534730027025091,-0.5988987856340712
About Last Night,-0.6458931135339586,6.1,0.638984865411418,-0.22050077298410098,-0.6623523550328997,0.01338129625509905,-0.37228341117599173,-0.402417499653706,0.4240795643282743,0.07543754281763664,-0.11847237461824828,-0.3740667112982883,4.441397201707771
American Sniper,-0.6458931135339586,7.3,-1.0548487860152425,3.5278606095932017,0.21507066064770222,0.9218655906740941,-0.37228341117599173,0.17051588968377376,0.08896631010450859,0.19184606995260545,-0.08544073223815381,0.6048200886454275,-0.6226153598729768
And So It Goes,-0.6458931135339586,5.7,0.638984865411418,-0.6358799042982414,-0.3307129862551344,-0.3292191557877017,-0.37228341117599173,-0.402417499653706,-0.796098426565361,-0.7968958132439916,-0.47134699321535506,-0.6639232087435509,-0.5378782066364632
Annabelle,-0.6458931135339586,5.4,2.3328185168380786,0.22348231048640238,-0.7760572814709906,0.6636941706011078,-0.37228341117599173,-0.402417499653706,3.7416211628593685,2.275428821677323,2.983279409854038,1.1257336226256283,3.9163111809459505
Annie,-0.6458931135339586,5.2,0.638984865411418,0.24338071198648095,0.33256575130039623,0.6155486895604698,-0.37228341117599173,-0.402417499653706,-0.6894527731828868,-0.45700564370834695,0.022516342857764705,-0.07841308390412031,0.5723867749026539
Atlas Shrugged: Who Is John Galt?,-0.6458931135339586,4.4,-0.5708963141790537,-0.8145924227708221,-0.8044835130805134,-1.5133188851494794,1.6999447329602517,-0.402417499653706,-0.7763971859731511,-0.8681696534284425,-0.5180746824359765,-0.6767597107732698,-0.6247654978567853
Barefoot,-0.6458931135339586,6.6,0.638984865411418,-0.8247679678379248,-0.7855326920074982,-1.5461136331046967,-0.37228341117599173,-0.11595080498496611,0.08594829412703929,-0.30820729626176546,-0.3480825716506123,-0.502431731595476,-0.5690959261662918
Better Living Through Chemistry,-0.6458931135339586,6.3,0.638984865411418,-0.8240155595312031,-0.8044835130805134,-1.5412293089411537,-0.37228341117599173,-0.402417499653706,-0.5696044035444762,-0.6738307315587666,-0.4294532028796255,-0.617546169152309,-0.2400929884827396
Beyond the Lights,-0.6458931135339586,6.9,-0.5708963141790537,-0.6433418048607709,-0.766581870934483,-1.5370427453724025,-0.37228341117599173,-0.402417499653706,-0.4561995058084012,-0.2554419248268075,-0.35775036942039606,-0.4092635717023559,-0.6011327013059733
Big Hero 6,-0.6458931135339586,7.9,1.6068898090837955,1.9359884895869153,2.227647858601912,1.0656042732012163,-0.37228341117599173,3.751349573043022,0.2895501128376672,0.2746471143582318,-0.1136384757333564,-0.1575024996356134,-0.5815455714360585
Black or White,-0.6458931135339586,6.6,-0.5708963141790537,-0.5562862982979271,-0.7286802287884527,-0.28665575950539857,-0.37228341117599173,-0.5456508469880759,-0.5808706764047846,-0.5175640546167757,-0.29974358280169355,-0.26516348440099674,-0.42049583695009174
Blended,-0.6458931135339586,6.5,0.638984865411418,-0.24910472514046395,-0.14120477552498278,0.9218655906740941,-0.37228341117599173,-0.6888841943224459,1.1407137164975008,0.6421376320290852,1.0158825637030449,0.22386583486022507,-0.06268554338856443
Boyhood,-0.6458931135339586,8.0,-0.5708963141790537,-0.5090275947352404,-0.8234343341535285,-1.0206999052264298,-0.37228341117599173,0.8866826263556234,-0.4969351907467641,-0.5039262355382019,-0.3803085642165581,-0.38607505190673486,-0.6037302776686502
Brick Mansions,-0.6458931135339586,5.7,-1.0548487860152425,-0.5724537495167409,-0.3686146284011647,0.2882989706030899,-0.37228341117599173,-0.402417499653706,-0.38857616019862634,-0.33661941934212747,-0.34163737313742315,-0.18151918085250662,0.12265504032675907
Cake,-0.6458931135339586,6.5,-0.5708963141790537,-0.801658461795771,-0.766581870934483,-1.222352717121276,-0.37228341117599173,-0.11595080498496611,0.21118349248999163,-0.1280744359322705,-0.18131306012184265,-0.21671604125657423,0.48774322802155223
Camp X-Ray,-0.6458931135339586,7.0,-0.5708963141790537,-0.8247923433797625,-0.880286797372574,0.37900784792603104,-0.37228341117599173,0.02728254234940383,-0.9291069247277941,-0.8746963239874742,-0.5470780757453277,-0.6927846342748865,-0.627791323295471
Cantinflas,-0.6458931135339586,6.7,0.8809611013295123,-0.7456942075768,-0.8423851552265437,-1.2921287766004614,-0.37228341117599173,0.02728254234940383,-0.17723505993779043,-0.1020976376873681,-0.09752547945038349,0.25782045313238444,-0.38197682169814445
Captain America: The Winter Soldier,-0.6458931135339586,7.8,-1.0548487860152425,2.4085755252137817,2.3224019639669877,1.1891078984793746,0.66383066089213,0.3137492370181437,-0.7335321144390862,-0.6381938114665411,-0.49390518801151717,-0.34632330368567027,1.250845638927232
Dawn of the Planet of the Apes,-0.6458931135339586,7.7,-1.0548487860152425,1.7743139773987768,2.3224019639669877,1.2093429557283384,0.66383066089213,-0.9753508889911857,-0.48022911417831354,-0.32533574760449796,-0.39642156049953103,-0.3247911067325936,-0.6016241346718851
Deliver Us from Evil,-0.6458931135339586,6.2,1.1229373372476068,-0.44560143995373996,-0.3307129862551344,-1.4909905461161401,-0.37228341117599173,-0.402417499653706,-0.8101492619214881,-0.7656424778555935,-0.4890712891266253,-0.6258277833650308,-0.4540537153652147
Devil's Due,-0.6458931135339586,4.0,2.3328185168380786,-0.6284180037357119,-0.766581870934483,0.21642962933952883,-0.37228341117599173,-0.402417499653706,-0.4519264501459285,-0.5724400409091319,-0.07899553372496465,-0.3910440204343679,-0.6260703704512255
Divergent,-0.6458931135339586,6.8,-0.8128725500971481,1.0529969230209282,0.7115821727606993,1.1877123772897908,-0.37228341117599173,-0.9753508889911857,-0.8105006107097789,-0.5990662591101569,-0.42461930399473363,-0.28421119709025683,-0.38726558077891
Dolphin Tale 2,-0.6458931135339586,6.4,-0.5708963141790537,-0.30258167917192513,-0.2170080598170434,0.7969664442063521,0.66383066089213,-0.5456508469880759,-0.8311239795704446,-0.7752214222084012,-0.44314924972015246,-0.5984984564630488,-0.5635380488137174
Dracula Untold,-0.6458931135339586,6.3,-1.0548487860152425,-0.12971431613999246,0.427319856665472,0.37900784792603104,-0.37228341117599173,-0.402417499653706,1.4450978446949498,1.2702079070941157,0.5341039748421547,1.4926091322492034,-0.5357486620508453
Draft Day,-0.6458931135339586,6.8,-0.5708963141790537,-0.46674349154757344,-0.38756544947417987,0.3817988903051984,-0.37228341117599173,-0.402417499653706,-0.7952406992573605,-0.7737602273071255,-0.423813654180585,-0.5989125371736849,-0.5939016103504133
Dumb and Dumber To,-0.6458931135339586,5.8,0.638984865411418,0.2471116622677457,-0.23595888089005856,0.6420635921625603,1.6999447329602517,-0.402417499653706,-0.07738033202656043,-0.2501653876833117,-0.18775825863503182,-0.22831030115438475,3.3649451759022733
Earth to Echo,-0.6458931135339586,5.8,-0.8128725500971481,-0.3411348320783274,-0.6528769444963921,0.6950933973667413,-0.37228341117599173,-0.402417499653706,-0.5445423023569405,-0.6663624020633571,-0.10155372852112672,-0.4266549615490717,-0.6075714144629726
Edge of Tomorrow,-0.6458931135339586,7.9,-1.0548487860152425,0.41873537520592347,2.474008532551109,0.8765111520126235,-0.37228341117599173,-0.402417499653706,3.1118323550674583,1.4994531516053795,0.8466961027318292,1.9733568372977037,0.6845271886859658
Endless Love,-0.6458931135339586,6.3,-0.5708963141790537,-0.5339005966103386,-0.520221196985286,0.3950563416062437,-0.37228341117599173,-0.25918415231933606,2.14645312867743,1.0915362416658965,0.5349096246563033,0.3741771328211256,-0.6232706043608592
Falcon Rising,-0.6458931135339586,5.7,-1.0548487860152425,-0.8248066453558406,-0.8139589236170209,0.37900784792603104,-0.37228341117599173,-0.402417499653706,-0.7399490988496217,-0.8234408539505013,-0.4681243939587605,-0.654813433109557,-0.38024510412302653
Foxcatcher,-0.6458931135339586,7.1,0.8809611013295123,-0.8098665524145535,-0.44441791269322534,-1.5126211245546877,-0.37228341117599173,0.45698258435251365,0.8050343570568288,-0.19569528886353202,-0.17083961253791025,-0.038661335683055714,2.5823960446597964
Fury,-0.6458931135339586,7.6,-1.0548487860152425,0.24089341179897114,0.3894182145194417,0.7530075267344652,-0.37228341117599173,0.02728254234940383,-0.33976620484317055,-0.5547433471047922,-0.28040798726212607,-0.16040106461006606,-0.1864799484206429
God Help the Girl,-0.6458931135339586,6.4,-0.5708963141790537,-0.8236461954533579,-0.8641785994605111,-1.5530912390526153,-0.37228341117599173,-0.9753508889911857,-0.6623228298658907,-0.3482278010578182,-0.4012554593844229,-0.5380426727101797,-0.612716487788181
God's Not Dead,-0.6458931135339586,5.0,-0.5708963141790537,-0.0687754615460018,-0.8613359762995588,-1.0144200598733033,-0.37228341117599173,-0.402417499653706,-0.8123968035051222,-0.7365809348191089,-0.2143447025019371,-0.3243770260219575,-0.5318873998901094
God's Pocket,-0.6458931135339586,6.1,1.1229373372476068,-0.8236213224514828,-0.880286797372574,-1.5565800420265745,-0.37228341117599173,-0.402417499653706,-0.9051386011428312,-0.8712543982200247,-0.5390215776038413,-0.6879398899604442,-0.38197682169814445
Godzilla,-0.6458931135339586,6.5,-1.0548487860152425,1.674821969898384,2.132893753236836,1.1988765468064606,-0.37228341117599173,-0.11595080498496611,-0.6306082133358316,-0.6341349367407751,-0.45684529656067946,-0.46640670977013626,-0.19069223441417296
Gone Girl,-0.6458931135339586,8.2,-0.5708963141790537,1.264417438959263,0.25676246700833555,0.5443771088917007,-0.37228341117599173,-1.9779843203317755,-0.8281215444705048,-0.76223302308595,-0.5003503865247063,-0.5512932554505346,4.201785993283583
Guardians of the Galaxy,-0.6458931135339586,8.1,-1.0548487860152425,3.316440093654867,2.3224019639669877,1.2881899029398178,-0.37228341117599173,-0.402417499653706,-0.5898540910257254,-0.17962214494949866,-0.33035827573934207,-0.16081514532070215,0.015241747491742046
Happy Christmas,-0.6458931135339586,5.6,0.638984865411418,-0.8245403798707677,-0.8962054870739068,-1.5523934784578233,-0.37228341117599173,-0.402417499653706,-0.6909223096152133,-0.7609341831737049,-0.4608735456314227,-0.6382502046841134,0.7495134009305937
Heaven Is for Real,-0.6458931135339586,5.8,-0.5708963141790537,0.3117814671430011,-0.6718277655694073,0.12781403380096326,-0.37228341117599173,-1.6915176256630355,-0.8855092922685492,-0.8376469154906823,-0.5196859820642739,-0.6378361239734773,-0.38197682169814445
Hercules,-0.6458931135339586,6.1,-1.0548487860152425,0.07921889961083266,0.9958444888559268,0.9497760144657683,-0.37228341117599173,-0.6888841943224459,1.4904864990262137,0.3814766971403929,0.3633062142426418,0.9323579307585743,1.5747236286519892
Horrible Bosses 2,-0.6458931135339586,6.3,0.638984865411418,-0.14836906754631612,-0.10330313337895246,-1.4937815884953076,0.66383066089213,-0.5456508469880759,-0.5953886784055054,-0.4461278594432941,-0.4471774987908957,-0.5430116412378129,-0.2421757298906517
How to Train Your Dragon 2,-0.6458931135339586,7.9,1.6068898090837955,1.376345947397205,1.8486314371416088,1.4089024858388088,0.66383066089213,0.02728254234940383,2.0481476593552195,0.9740724071022285,0.1473920640508048,0.4926042160630472,-0.47127728476098213
If I Stay,-0.6458931135339586,6.8,-0.5708963141790537,-0.19687142120275766,-0.6907785866424224,-0.6711218472357106,-0.37228341117599173,1.602849363027473,1.464065225955519,2.5123047506730267,0.19734235252802082,0.80150842619757,-0.2070733466112344
In the Name of My Daughter,-0.6458931135339586,6.1,-0.5708963141790537,-0.821494680791162,-0.7299541043075383,-1.554486760242199,-0.37228341117599173,-0.402417499653706,-0.9288259495696783,-0.8745826754951528,-0.5470780757453277,-0.6927846342748865,-0.6145184101298578
Inherent Vice,-0.6458931135339586,6.7,0.638984865411418,-0.7243034259642156,-0.520221196985286,-1.1086177401702035,-0.37228341117599173,-0.25918415231933606,-0.6276655049330884,-0.6598682025021315,-0.48101479098513883,-0.3628865321111139,-0.38197682169814445
Interstellar,-0.6458931135339586,8.7,-0.8128725500971481,1.5131474577102453,2.227647858601912,0.9260521542428453,-0.37228341117599173,-0.11595080498496611,0.4769574271253973,0.47531788080010273,0.057964934680305114,1.0942634886172853,-0.1918623138568202
Into the Storm,-0.6458931135339586,5.8,-1.0548487860152425,-0.2329372739216501,0.04830343520516882,0.8374365587042797,-0.37228341117599173,-0.402417499653706,0.17798765386945875,-0.1537265241991116,-0.08866333149474839,0.5733499546370847,-0.5578631635168783
Into the Woods,-0.6458931135339586,6.0,-0.8128725500971481,0.7669574014572986,0.04830343520516882,0.14386252748117592,-0.37228341117599173,-0.9753508889911857,-0.718735474411879,-0.5186193620454748,-0.45684529656067946,-0.5496369326079903,0.4762530478947563
It Follows,-0.6458931135339586,6.9,2.3328185168380786,-0.6420981547670159,-0.8613359762995588,-1.5558822814317825,-0.37228341117599173,-1.6915176256630355,-0.9296914673164435,-0.8745826754951528,-0.5462724259311791,-0.6924947777774412,-0.38197682169814445
Jack Ryan: Shadow Recruit,-0.6458931135339586,6.2,-1.0548487860152425,-0.19687142120275766,0.23781164593532042,0.8046418107490625,3.7721728770964953,0.17051588968377376,-0.06862024331687627,-0.5242206091670318,-0.2675175902357477,-0.23534967323519826,-0.5939016103504133
